ref;value;footprint;Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8
P1;SIL2;SIL2;0.1 in pitch header/2 contacts
P2;SIL20;SIL20;0.1 in pitch header/20 contacts
P3;SIL20;SIL20;0.1 in pitch header/20 contacts
P4;SIL6;SIL6;0.1 in pitch header/6 contacts
P5;SIL5;SIL5;0.1 in pitch header/5 contacts
P6;Pad;none;none;none;Test pad
P7;Pad;none;none;none;Test Pad
P8;Pad;none;none;none;Test Pad
P9;Pad;none;none;none;Test Pad
P10;Pad;none;none;none;Test Pad
P11;SIL1;SIL1;0.1 in pitch header/1 contact
P12;Pad;none;none;none;Test Pad
R1;10K;0603;M;P;Resistor/1K/+-10%/0603
R2;470R;0603;M;P;Resistor/470R/+-10%/0603
R3;470R;0603;M;P;Resistor/470R/+-10%/0603
R4;100R;0603;M;P;Resistor/100R/+-10%/0603
R5;100R;0603;M;P;Resistor/100R/+-10%/0603
R6;100R;0603;M;P;Resistor/100R/+-10%/0603
R7;10K;0603;M;P;Resistor/10K/+-10%/0603
R8;4.1K;0603;M;P;Resistor/4.1K/+-1%/0603
R9;680R;0603;M;P;Resistor/680R/+-1%/0603
R10;470R;0603;M;P;Resistor/470R/+-10%/0603
R11;75R;0603;M;P;Resistor/75R/+-1%/0603
R12;33K;0603;M;P;Resistor/33K/+-1%/0603
R13;1.2K;0603;M;P;Resistor/1.2K/+-1%/0603
R14;1K;0603;M;P;Resistor/1K/+-1%/0603
R15;1K;0603;M;P;Resistor/1K/+-1%/0603
R16;1K;0603;M;P;Resistor/1K/+-1%/0603
R17;100R;0603;M;P;Resistor/100R/+-10%/0603
R18;2K;0603;M;P;Resistor/2K/+-1%/0603
R19;100R;0603;M;P;Resistor/100R/+-10%/0603
R20;20R;0603;M;P;Resistor/20R/+-1%/0603
R21;40.2R;0603;M;P;Resistor/40.2R/1%/0603
R22;20R;0603;M;P;Resistor/20R/+-1%/0603
R23;75R;0603;M;P;Resistor/75R/+-1%/0603
R24;470R;0603;M;P;Resistor/470R/+-10%/0603
R25;0R;0603;M;P;Resistor(Link)/0R/0603
R26;100R;0603;M;P;Resistor/100R/+-10%/0603
R27;100R;0603;M;P;Resistor/100R/+-10%/0603
R28;100R;0603;M;P;Resistor/100R/+-10%/0603
R29;100R;0603;M;P;Resistor/100R/+-10%/0603
R30;0R;0603;M;P;Resistor(Link)/0R/0603
R31;47K;0603;M;P;Resistor/47K/10%/0603
R32;47K;0603;M;P;Resistor/47K/10%/0603
U1;SI501;DFN2532;Silicon Labs;SI501ABA8M00000CAF;8 MHZ Oscillator in DFN 2.5mm x 3.2 mm
U2;STM32F405RGT6;LQFP64;ST Microelectronics;STM32F405RGT6
U3;74LVC1G86;SOT23-5;Texas Instruments;SN74LVC1G86DBVR;Single_XOR_Gate/SOT23-5
U4;BD9G101G;SOT23-6;Rohm Semiconductor;BD9101G;Switching_Regulator_IC
U5;LD39015MXXR;SOT23-5;ST Microelectronics;LD39015M33R;VoltageReg/3.3V/SOT23-5
U6;SI8642;NSOIC-16;Silicon Labs;SI8642AB-B-IS1;Digital isolator/NSOIC-16
U7;LM358DMR2G;MSOP-8;On Semiconductor;LM358DMR2G;OpAmp/Dual/MSOP-8
U8;MCP6562;MSOP-8;Microchip;MPC6562-E/MS;Comparator/Dual/MSOP-8
U9;TLV3501;SOT23-6;Texas Instruments (Burr-Brown);TLV3501AIDBVT;Comparator/Single/Hi_Z
U10;FMS6141;SC70-5;Fairchild Semiconductor;FMS6141S5X;Video Amp/SyncClamp/4th Order Filter/G=2
U11;DAC084S085;MSOP-10;Texas Instruments;DAC084SO85CIMM;DAC/8Bit/Quad channel/MSOP-10
U12;ADG704;MSOP-10;Analog Devices;ADG704BRMZ;Analog Mux switch/4 channel/MSOP-10
U13;OPA830;SOT23-5;Texas Instruments;OPA830IDBVT;VideoAmp
